city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
malisheve,42.4822,20.7458,kosovo,xk,xks,malishevë,admin,,1901597212
prizren,42.2139,20.7397,kosovo,xk,xks,prizren,admin,,1901360309
zubin potok,42.9144,20.6897,kosovo,xk,xks,zubin potok,admin,,1901608808
kamenice,42.5781,21.5803,kosovo,xk,xks,kamenicë,admin,,1901851592
viti,42.3214,21.3583,kosovo,xk,xks,viti,admin,,1901328795
shterpce,42.2394,21.0272,kosovo,xk,xks,shtërpcë,admin,,1901828239
shtime,42.4331,21.0397,kosovo,xk,xks,shtime,admin,,1901598505
vushtrri,42.8231,20.9675,kosovo,xk,xks,vushtrri,admin,,1901107642
dragash,42.0265,20.6533,kosovo,xk,xks,dragash,admin,,1901112530
podujeve,42.9111,21.1899,kosovo,xk,xks,podujevë,admin,,1901550082
fushe kosove,42.6639,21.0961,kosovo,xk,xks,fushë kosovë,admin,,1901134407
kacanik,42.2319,21.2594,kosovo,xk,xks,kaçanik,admin,,1901200321
kline,42.6217,20.5778,kosovo,xk,xks,klinë,admin,,1901230162
leposaviq,43.1039,20.8028,kosovo,xk,xks,leposaviq,admin,,1901974597
peje,42.66,20.2922,kosovo,xk,xks,pejë,admin,,1901339694
rahovec,42.3994,20.6547,kosovo,xk,xks,rahovec,admin,,1901336358
gjilan,42.4689,21.4633,kosovo,xk,xks,gjilan,admin,,1901235642
lipjan,42.5217,21.1258,kosovo,xk,xks,lipjan,admin,,1901682048
obiliq,42.6869,21.0703,kosovo,xk,xks,obiliq,admin,,1901102771
gjakove,42.3803,20.4308,kosovo,xk,xks,gjakovë,admin,,1901089874
pristina,42.6666,21.1724,kosovo,xk,xks,prishtinë,primary,,1901760068
decan,42.5378,20.2911,kosovo,xk,xks,deçan,admin,,1901189818
istog,42.7808,20.4875,kosovo,xk,xks,istog,admin,,1901248770
hani i elezit,42.15,21.2967,kosovo,xk,xks,hani i elezit,admin,,1901964789
junik,42.4758,20.2772,kosovo,xk,xks,junik,admin,,1901930204
kllokot,42.3714,21.3744,kosovo,xk,xks,kllokot,admin,,1901445768
mamushe,42.3308,20.7269,kosovo,xk,xks,mamushë,admin,,1901042958
